Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_UMB4334_ba41-42-22_1st	UMB4334_ba41-42-22_1st	UMB4334	ba41/42/22	1898706	408602	500788	237284
Sample_UMB4334_ba9_1st	UMB4334_ba9_1st	UMB4334	ba9	5120527	3201187	4905180	1635602
Sample_UMB4337-BA9_UMB4337_ba9_3rd	UMB4337_ba9_3rd	UMB4337	ba9	4709780	4174257	6915770	2211632
Sample_UMB4337_vermis_2nd	UMB4337_vermis_2nd	UMB4337	vermis	5723051	4497766	8041465	1623579
Sample_UMB433-BA41-42-22_UMB433_ba41-42-22_3rd	UMB433_ba41-42-22_3rd	UMB433	ba41/42/22	4516201	4237677	7196689	2189257
Sample_UMB4590_ba41-42-22_2nd	UMB4590_ba41-42-22_2nd	UMB4590	ba41/42/22	11352480	4657877	7847210	2096007
Sample_UMB4590_ba9_1st	UMB4590_ba9_1st	UMB4590	ba9	5614176	2701912	4204376	1591737
Sample_UMB4590_vermis_2nd	UMB4590_vermis_2nd	UMB4590	vermis	4590097	3863118	6611143	1651497
Sample_UMB4842_ba41-42-22_2nd	UMB4842_ba41-42-22_2nd	UMB4842	ba41/42/22	7202631	4351606	7299105	1731768
Sample_UMB4842_ba9_2nd	UMB4842_ba9_2nd	UMB4842	ba9	2846863	1555801	2376155	838763
Sample_UMB4842-CB_UMB4842_vermis_3rd	UMB4842_vermis_3rd	UMB4842	vermis	4146045	3870424	6759895	1762061
Sample_UMB4849_ba9_2nd	UMB4849_ba9_2nd	UMB4849	ba9	4274240	3325581	4795152	1824771
Sample_UMB4849_vermis_1st	UMB4849_vermis_1st	UMB4849	vermis	5922158	4290969	7452011	1727087
Sample_UMB4999_ba41-42-22_2nd	UMB4999_ba41-42-22_2nd	UMB4999	ba41/42/22	4449826	3566924	5527722	2118592
Sample_UMB4999_ba9_2nd	UMB4999_ba9_2nd	UMB4999	ba9	4316097	3229985	5190492	1593832
Sample_UMB5027_ba41-42-22_2nd	UMB5027_ba41-42-22_2nd	UMB5027	ba41/42/22	5590257	3880958	6057824	2006768
Sample_UMB5027_ba9_1st	UMB5027_ba9_1st	UMB5027	ba9	5148131	2308962	3503672	1194089
Sample_UMB5027_vermis_2nd	UMB5027_vermis_2nd	UMB5027	vermis	4696843	3762045	6247125	1476522
Sample_UMB5079_ba9_2nd	UMB5079_ba9_2nd	UMB5079	ba9	6305316	4901290	7753399	2716907
Sample_UMB5079_vermis_1st	UMB5079_vermis_1st	UMB5079	vermis	2196459	1842429	3230785	810355
Sample_UMB5115_ba41-42-22_2nd	UMB5115_ba41-42-22_2nd	UMB5115	ba41/42/22	4243526	3063856	4533585	1534479
Sample_UMB5115_ba9_2nd	UMB5115_ba9_2nd	UMB5115	ba9	4995433	4030791	6351416	1871375
Sample_UMB5115_vermis_1st	UMB5115_vermis_1st	UMB5115	vermis	4695904	3445941	5457412	1511323
Sample_UMB5144_vermis_2nd	UMB5144_vermis_2nd	UMB5144	vermis	5023860	3892799	7043243	1632345
Sample_UMB5163_ba41-42-22_1st	UMB5163_ba41-42-22_1st	UMB5163	ba41/42/22	7809121	3010590	4586406	1623254
Sample_UMB5163_ba41-42-22_1st_T	UMB5163_ba41-42-22_1st_T	UMB5163	ba41/42/22	7131660	4945291	8978741	2313306
Sample_UMB5163_ba9_2nd	UMB5163_ba9_2nd	UMB5163	ba9	6103875	5014362	7752482	2975905
Sample_UMB5163_vermis_2nd	UMB5163_vermis_2nd	UMB5163	vermis	5110955	3600646	6001133	1632289
Sample_UMB5168_ba41-42-22_1st	UMB5168_ba41-42-22_1st	UMB5168	ba41/42/22	8947911	1883932	2922537	998778
Sample_UMB5168_ba9_2nd	UMB5168_ba9_2nd	UMB5168	ba9	5442079	3543745	5811148	1947180
Sample_UMB5168_vermis_2nd	UMB5168_vermis_2nd	UMB5168	vermis	4739831	3825692	6829189	1696200
Sample_UMB5176-BA41-42-22_UMB5176_ba41-42-22_3rd	UMB5176_ba41-42-22_3rd	UMB5176	ba41/42/22	4081254	3593084	6280129	2004531
Sample_UMB5176_vermis_2nd	UMB5176_vermis_2nd	UMB5176	vermis	4480406	4135367	7115175	1868795
Sample_UMB5242_ba41-42-22_1st	UMB5242_ba41-42-22_1st	UMB5242	ba41/42/22	4814538	3030305	4927077	1633806
Sample_UMB5242_ba9_1st	UMB5242_ba9_1st	UMB5242	ba9	5740668	4463770	7021541	2301974
Sample_UMB5242_vermis_2nd	UMB5242_vermis_2nd	UMB5242	vermis	3921805	3274022	5520972	1160868
