Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	unmapped_read	uniquely_mapped_read
Sample_NP167_08-BA9_NP167_08_ba9_3rd	NP167_08_ba9_3rd	NP167_08	ba9	5190917	4988418	171529	293540
Sample_NP26_11-BA41-42-22_NP26_11_ba41-42-22_3rd	NP26_11_ba41_42_22_3rd	NP26_11	ba41/42/22	5483787	4874723	314855	813685
Sample_NP26_11-BA9_NP26_11_ba9_3rd	NP26_11_ba9_3rd	NP26_11	ba9	4933830	4652996	357543	971232
Sample_NP26_11-CB_NP26_11_vermis_3rd	NP26_11_vermis_3rd	NP26_11	vermis	5540159	5073400	215264	766607
Sample_NP27_11-CB_NP27_11_vermis_3rd	NP27_11_vermis_3rd	NP27_11	vermis	5020217	4674969	273028	344630
Sample_NP56_10-CB_NP56_10_vermis_3rd	NP56_10_vermis_3rd	NP56_10	vermis	4238533	3991224	69604	458513
Sample_NP72_11-BA41-42-22_NP72_11_ba41-42-22_3rd	NP72_11_ba41_42_22_3rd	NP72_11	ba41/42/22	8870861	8485960	389453	444150
Sample_NP72_11-BA9_NP72_11_ba9_3rd	NP72_11_ba9_3rd	NP72_11	ba9	4399023	4225022	241947	384856
Sample_NP72_11-CB_NP72_11_vermis_3rd	NP72_11_vermis_3rd	NP72_11	vermis	6144688	5597347	358334	709645
Sample_NP90_09-BA41-42-22_NP90_09_ba41-42-22_3rd	NP90_09_ba41_42_22_3rd	NP90_09	ba41/42/22	4699115	4272028	258248	382725
Sample_NP90_09-BA9_NP90_09_ba9_3rd	NP90_09_ba9_3rd	NP90_09	ba9	5078221	4558479	82902	487879
Sample_NP90_09-CB_NP90_09_vermis_3rd	NP90_09_vermis_3rd	NP90_09	vermis	4267898	4147158	227435	270981
Sample_UMB1376-BA41-42-22_UMB1376_ba41-42-22_3rd	UMB1376_ba41_42_22_3rd	UMB1376	ba41/42/22	3984277	3606989	355726	689348
Sample_UMB1376-BA9_UMB1376_ba9_3rd	UMB1376_ba9_3rd	UMB1376	ba9	4272370	3737183	260531	894481
Sample_UMB1376_vermis_2nd	UMB1376_vermis_2nd	UMB1376	vermis	12156883	7733667	449335	1921796
Sample_UMB1578_ba41-42-22_1st	UMB1578_ba41_42_22_1st	UMB1578	ba41/42/22	3725098	2472862	161675	581478
Sample_UMB1578_ba9_2nd	UMB1578_ba9_2nd	UMB1578	ba9	3558158	2961610	293490	492351
Sample_UMB1578_vermis_1st	UMB1578_vermis_1st	UMB1578	vermis	4358657	3010121	214885	547298
Sample_UMB4334_ba41-42-22_1st	UMB4334_ba41_42_22_1st	UMB4334	ba41/42/22	1898706	408602	127940	126680
Sample_UMB4334_ba9_1st	UMB4334_ba9_1st	UMB4334	ba9	5120527	3201187	243469	916877
Sample_UMB4337-BA9_UMB4337_ba9_3rd	UMB4337_ba9_3rd	UMB4337	ba9	4709780	4174257	306352	1145675
Sample_UMB4337_vermis_2nd	UMB4337_vermis_2nd	UMB4337	vermis	5723051	4497766	205088	872805
Sample_UMB433-BA41-42-22_UMB433_ba41-42-22_3rd	UMB433_ba41_42_22_3rd	UMB433	ba41/42/22	4516201	4237677	228461	765731
Sample_UMB4590_ba41-42-22_2nd	UMB4590_ba41_42_22_2nd	UMB4590	ba41/42/22	11352480	4657877	369473	1265988
Sample_UMB4590_ba9_1st	UMB4590_ba9_1st	UMB4590	ba9	5614176	2701912	260412	702558
Sample_UMB4590_vermis_2nd	UMB4590_vermis_2nd	UMB4590	vermis	4590097	3863118	236754	509593
Sample_UMB4842_ba41-42-22_2nd	UMB4842_ba41_42_22_2nd	UMB4842	ba41/42/22	7202631	4351606	288914	1006184
Sample_UMB4842_ba9_2nd	UMB4842_ba9_2nd	UMB4842	ba9	2846863	1555801	113170	335331
Sample_UMB4842-CB_UMB4842_vermis_3rd	UMB4842_vermis_3rd	UMB4842	vermis	4146045	3870424	189938	582783
Sample_UMB4849_ba9_2nd	UMB4849_ba9_2nd	UMB4849	ba9	4274240	3325581	402883	981304
Sample_UMB4849_vermis_1st	UMB4849_vermis_1st	UMB4849	vermis	5922158	4290969	177717	747593
Sample_UMB4999_ba41-42-22_2nd	UMB4999_ba41_42_22_2nd	UMB4999	ba41/42/22	4449826	3566924	210882	1331528
Sample_UMB4999_ba9_2nd	UMB4999_ba9_2nd	UMB4999	ba9	4316097	3229985	395245	759374
Sample_UMB5027_ba41-42-22_2nd	UMB5027_ba41_42_22_2nd	UMB5027	ba41/42/22	5590257	3880958	310642	1021733
Sample_UMB5027_ba9_1st	UMB5027_ba9_1st	UMB5027	ba9	5148131	2308962	212120	703820
Sample_UMB5027_vermis_2nd	UMB5027_vermis_2nd	UMB5027	vermis	4696843	3762045	383343	761030
Sample_UMB5079_ba9_2nd	UMB5079_ba9_2nd	UMB5079	ba9	6305316	4901290	318439	1291259
Sample_UMB5079_vermis_1st	UMB5079_vermis_1st	UMB5079	vermis	2196459	1842429	85839	382815
Sample_UMB5115_ba41-42-22_2nd	UMB5115_ba41_42_22_2nd	UMB5115	ba41/42/22	4243526	3063856	304663	861195
Sample_UMB5115_ba9_2nd	UMB5115_ba9_2nd	UMB5115	ba9	4995433	4030791	308795	964619
Sample_UMB5115_vermis_1st	UMB5115_vermis_1st	UMB5115	vermis	4695904	3445941	414664	891768
Sample_UMB5144_vermis_2nd	UMB5144_vermis_2nd	UMB5144	vermis	5023860	3892799	165149	733893
Sample_UMB5163_ba41-42-22_1st	UMB5163_ba41_42_22_1st	UMB5163	ba41/42/22	7809121	3010590	426017	914589
Sample_UMB5163_ba41-42-22_1st_T	UMB5163_ba41_42_22_1st_T	UMB5163	ba41/42/22	7131660	4945291	352725	1375370
Sample_UMB5163_ba9_2nd	UMB5163_ba9_2nd	UMB5163	ba9	6103875	5014362	379548	1251540
Sample_UMB5163_vermis_2nd	UMB5163_vermis_2nd	UMB5163	vermis	5110955	3600646	193558	504157
Sample_UMB5168_ba41-42-22_1st	UMB5168_ba41_42_22_1st	UMB5168	ba41/42/22	8947911	1883932	277971	512052
Sample_UMB5168_ba9_2nd	UMB5168_ba9_2nd	UMB5168	ba9	5442079	3543745	226987	555851
Sample_UMB5168_vermis_2nd	UMB5168_vermis_2nd	UMB5168	vermis	4739831	3825692	160837	599867
Sample_UMB5176-BA41-42-22_UMB5176_ba41-42-22_3rd	UMB5176_ba41_42_22_3rd	UMB5176	ba41/42/22	4081254	3593084	377555	989481
Sample_UMB5176_vermis_2nd	UMB5176_vermis_2nd	UMB5176	vermis	4480406	4135367	317674	475024
Sample_UMB5242_ba41-42-22_1st	UMB5242_ba41_42_22_1st	UMB5242	ba41/42/22	4814538	3030305	239315	900236
Sample_UMB5242_ba9_1st	UMB5242_ba9_1st	UMB5242	ba9	5740668	4463770	459819	1134560
Sample_UMB5242_vermis_2nd	UMB5242_vermis_2nd	UMB5242	vermis	3921805	3274022	252842	651028
Sample_UMB5278_ba41-42-22_1st	UMB5278_ba41_42_22_1st	UMB5278	ba41/42/22	3501156	2166747	185242	543830
Sample_UMB5278_ba9_1st	UMB5278_ba9_1st	UMB5278	ba9	5493441	4134519	315838	1171130
Sample_UMB5278_vermis_1st	UMB5278_vermis_1st	UMB5278	vermis	5323311	4858853	423213	986104
Sample_UMB5297_ba9_1st	UMB5297_ba9_1st	UMB5297	ba9	5742189	4071447	275534	621093
Sample_UMB5297_vermis_2nd	UMB5297_vermis_2nd	UMB5297	vermis	4599748	4160864	298229	538090
Sample_UMB5302_ba41-42-22_1st	UMB5302_ba41_42_22_1st	UMB5302	ba41/42/22	4814851	4043544	363854	539800
Sample_UMB5302_ba9_1st	UMB5302_ba9_1st	UMB5302	ba9	13013108	5874075	498044	1567573
Sample_UMB5302_vermis_1st	UMB5302_vermis_1st	UMB5302	vermis	4295346	3757346	272013	320051
Sample_UMB5303_ba41-42-22_2nd	UMB5303_ba41_42_22_2nd	UMB5303	ba41/42/22	3988490	2167054	163698	656210
Sample_UMB5303_ba9_1st	UMB5303_ba9_1st	UMB5303	ba9	5355699	3580588	286018	685900
